symbol,name,screens,screen_count,discovery_score,price,market_cap,trailing_pe,forward_pe,price_to_book,change_52w_pct,avg_volume_3m,exchange,quote_time
SKYW,"SkyWest, Inc.",cashflow_value,1,35.26,97.23,3856169216,9.322147,8.1109085,1.4149337,-13.527214,418067,NasdaqGS,1784318400
ASO,"Academy Sports and Outdoors, Inc.",cashflow_value,1,34.92,48.39,3001069056,8.54947,6.915436,1.4489325,-10.30584,1506012,NasdaqGS,1784318401
RGP,"Resources Connection, Inc.",asset_value,1,34.76,4.64,159288144,,-464.0,0.84733385,-10.76923,457730,NasdaqGS,1784318401
API,"Agora, Inc.",asset_value,1,34.57,3.91,330589664,43.444443,-43.444443,0.59612745,-1.758796,440337,NasdaqGS,1784318400
KELYA,"Kelly Services, Inc.",asset_value,1,34.53,15.32,531132000,,8.959064,0.546967,20.535015,446990,NasdaqGS,1784318401
G,Genpact Limited,fallen_profitable,1,34.52,30.89,5236056064,9.47546,6.8935966,2.1153188,-31.202675,2901677,NYSE,1784318402
AMSF,"AMERISAFE, Inc.",cashflow_value,1,34.5,33.9,634057920,13.950618,16.272028,2.5695446,-23.111814,239675,NasdaqGS,1784318401
MAT,"Mattel, Inc.",cashflow_value,1,34.24,14.3,4155136768,9.166667,8.90411,1.9726859,-28.06841,4798990,NasdaqGS,1784318401
IMKTA,"Ingles Markets, Incorporated",asset_value,1,34.17,90.15,1712343040,16.420767,19.180853,1.0302857,34.995506,141680,NasdaqGS,1784318401
KD,"Kyndryl Holdings, Inc.",cashflow_value,1,34.13,12.15,2679283968,14.294117,4.7249055,2.302881,-68.88604,4352480,NYSE,1784318403
CHA,Chagee Holdings Limited,fallen_profitable,1,33.96,11.3,2155625728,15.479452,6.699652,1.8694918,-53.612484,682761,NasdaqGS,1784318401
AVNW,"Aviat Networks, Inc.",asset_value,1,33.73,20.785,268946752,30.123188,7.348236,0.9880211,-12.018621,193343,NasdaqGS,1784318401
GPRK,GeoPark Limited,cashflow_value,1,33.58,9.68,628190912,9.132076,3.7052634,2.1401727,45.78314,558696,NYSE,1784318403
FSM,Fortuna Mining Corp.,cashflow_value,1,33.54,8.16,2472132096,7.5555553,4.9563584,1.4015802,21.609533,5181030,NYSE,1784318402
DCBO,Docebo Inc.,fallen_profitable,1,33.23,20.38,517298432,17.418804,10.122533,-849.1666,-33.355133,144620,NasdaqGS,1784318401
MMS,"Maximus, Inc.",cashflow_value,1,33.18,58.3,3063103232,8.753754,6.427784,1.8246119,-17.91045,768987,NYSE,1784318402
DUOL,"Duolingo, Inc.",fallen_profitable,1,32.86,133.85,6236488704,15.314647,17.058214,4.5050654,-62.385834,1584096,NasdaqGS,1784318401
NICE,NICE Ltd.,fallen_profitable,1,32.82,100.15,5868508672,11.88019,7.9319887,40.807594,-35.582428,688750,NasdaqGS,1784318400
MUX,McEwen Inc.,cashflow_value,1,32.8,16.37,977945280,13.872883,4.821797,1.4861553,44.483673,1167811,NYSE,1784318403
HAFN,Hafnia Limited,cashflow_value,1,32.71,7.25,3623414528,8.055555,10.661764,1.4224052,38.095238,1810464,NYSE,1784318402
ZTR,Virtus Global Dividend & Income Fund Inc.,asset_value,1,32.53,6.8,,12.056738,,0.94000554,9.854603,159693,NYSE,1784318403
APOG,"Apogee Enterprises, Inc.",cashflow_value,1,32.41,41.03,856226048,12.862068,10.520513,1.6878521,-1.2277305,267456,NasdaqGS,1784318401
CRCT,"Cricut, Inc.",cashflow_value,1,32.16,4.63,971830720,13.617647,24.368422,2.7187319,-13.940519,523003,NasdaqGS,1784318401
GROY,Gold Royalty Corp.,asset_value,1,31.85,2.55,588563456,,23.61111,0.8152174,4.5081973,1909993,NYSE American,1784318400
ACTG,Acacia Research Corporation,asset_value,1,31.7,4.54,438514688,,-8.566038,0.82967836,24.72527,249551,NasdaqGS,1784318401
EBF,"Ennis, Inc.",cashflow_value,1,31.61,21.38,540877056,12.802395,13.279503,1.7382113,20.450699,164853,NYSE,1784318403
VRA,"Vera Bradley, Inc.",asset_value,1,31.61,3.75,106643448,,-125.0,0.8393017,79.425835,368008,NasdaqGS,1784318400
BTG,B2Gold Corp.,cashflow_value,1,31.59,3.67,4889972736,9.657895,3.4010139,1.3335756,6.9970846,26007396,NYSE American,1784318400
TBLA,Taboola.com Ltd.,cashflow_value,1,31.57,5.28,1443152640,14.666667,7.741936,1.5098656,48.314606,3192037,NasdaqGS,1784318401
ALG,Alamo Group Inc.,fallen_profitable,1,31.54,162.43,1976503808,19.406212,13.499834,1.6644806,-24.81485,188850,NYSE,1784318403
OIS,"Oil States International, Inc.",asset_value,1,31.11,8.43,507430528,,9.764517,0.8888655,60.26616,827266,NYSE,1784318403
IPI,"Intrepid Potash, Inc.",asset_value,1,31.09,34.2,459409632,30.810812,56.037094,0.905217,-0.46565533,225651,NYSE,1784318402
MHO,"M/I Homes, Inc.",cashflow_value,1,30.97,149.53,3853045760,11.234409,9.819734,1.1986469,30.845297,248962,NYSE,1784318402
HLX,"Helix Energy Solutions Group, Inc.",asset_value,1,30.94,9.58,1411923840,95.799995,17.658985,0.9063387,49.45397,1778862,NYSE,1784318402
EIM,Eaton Vance Municipal Bond Fund,asset_value,1,30.66,9.75,500882848,42.391304,,0.93355036,3.283894,126595,NYSE American,1784318400
HOG,"Harley-Davidson, Inc.",cashflow_value,1,30.65,26.58,2798031616,13.772021,13.694184,0.913151,12.722647,2794374,NYSE,1784318403
MMU,Western Asset Managed Municipals Fund Inc.,asset_value,1,30.65,10.38,566943680,259.5,,0.93538797,5.1671743,132383,NYSE,1784318402
